EPIC ID|Type|Status|Notes
201208431|PC|Y|Reported by ketu team arXiv:1502.04715
201295312|PC|Y|Reported by ketu team arXiv:1502.04715
201338508|PC|Y|Reported by ketu team arXiv:1502.04715
201338508|PC|Y|Reported by ketu team arXiv:1502.04715
201367065|PC|Y|Reported by ketu team arXiv:1502.04715
201367065|PC|Y|Reported by ketu team arXiv:1502.04715
201384232|PC|Y|Reported by ketu team arXiv:1502.04715
201393098|PC|Y|Reported by ketu team arXiv:1502.04715
201403446|PC|Y|Reported by ketu team arXiv:1502.04715
201445392|PC|Y|Reported by ketu team arXiv:1502.04715
201445392|PC|Y|Reported by ketu team arXiv:1502.04715
201465501|PC|Y|Reported by ketu team arXiv:1502.04715
201505350|PC|Y|Reported by ketu team arXiv:1502.04715
201505350|PC|Y|Reported by ketu team arXiv:1502.04715
201546283|PC|Y|Reported by ketu team arXiv:1502.04715
201549860|PC|Y|Reported by ketu team arXiv:1502.04715
201565013|PC|Y|Reported by ketu team arXiv:1502.04715
201577035|PC|Y|Reported by ketu team arXiv:1502.04715
201596316|PC|Y|Reported by ketu team arXiv:1502.04715
201613023|PC|Y|Reported by ketu team arXiv:1502.04715
201617985|PC|Y|Reported by ketu team arXiv:1502.04715
201629650|PC|Y|Reported by ketu team arXiv:1502.04715
201635569|PC|Y|Reported by ketu team arXiv:1502.04715
201702477|PC|Y|Reported by ketu team arXiv:1502.04715
201736247|PC|Y|Reported by ketu team arXiv:1502.04715
201754305|PC|Y|Reported by ketu team arXiv:1502.04715
201754305|PC|Y|Reported by ketu team arXiv:1502.04715
201828749|PC|Y|Reported by ketu team arXiv:1502.04715
201855371|PC|Y|Reported by ketu team arXiv:1502.04715
201912552|PC|Y|Reported by ketu team arXiv:1502.04715
